rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean
0.15789473684210525,27,1,44,38,0,1.1578947368421053
0.15384615384615385,27,1,45,39,0,1.1538461538461537
0.15,27,1,46,40,0,1.15
0.14634146341463414,27,1,47,41,0,1.146341463414634
0.16666666666666666,27,1,49,42,0,1.1666666666666667
0.18604651162790697,28,1,51,43,0,1.186046511627907
0.18181818181818182,28,1,52,44,0,1.1818181818181819
0.17777777777777778,28,1,53,45,0,1.1777777777777778
0.17391304347826086,28,1,54,46,0,1.173913043478261
0.1702127659574468,28,1,55,47,0,1.1702127659574468
0.16666666666666666,28,1,56,48,0,1.1666666666666667
0.16326530612244897,28,1,57,49,0,1.163265306122449
0.16,28,2,58,50,0,1.16
0.1568627450980392,28,2,59,51,0,1.1568627450980393
0.15384615384615385,28,2,60,52,0,1.1538461538461537
0.1509433962264151,28,2,61,53,0,1.150943396226415
0.14814814814814814,27,2,62,54,0,1.1481481481481481
0.14545454545454545,27,2,63,55,0,1.1454545454545455
0.14285714285714285,27,2,64,56,0,1.1428571428571428
0.14035087719298245,27,2,65,57,0,1.1403508771929824
0.13793103448275862,27,2,66,58,0,1.1379310344827587
0.13559322033898305,27,2,67,59,0,1.1355932203389831
0.13333333333333333,27,2,68,60,0,1.1333333333333333
0.13114754098360656,27,2,69,61,0,1.1311475409836065
0.12903225806451613,27,2,70,62,0,1.1290322580645162
0.12698412698412698,27,2,71,63,0,1.126984126984127
0.125,27,2,72,64,0,1.125
0.13846153846153847,27,2,74,65,0,1.1384615384615384
0.13636363636363635,27,2,75,66,0,1.1363636363636365
0.1791044776119403,28,2,78,67,0,1.164179104477612
0.19117647058823528,29,2,80,68,0,1.1764705882352942
0.18840579710144928,28,2,81,69,0,1.173913043478261
0.18571428571428572,28,2,82,70,0,1.1714285714285715
0.18309859154929578,28,2,83,71,0,1.1690140845070423
0.18055555555555555,28,2,84,72,0,1.1666666666666667
0.1780821917808219,28,2,85,73,0,1.1643835616438356
0.1891891891891892,29,2,87,74,0,1.1756756756756757
0.18666666666666668,29,3,88,75,0,1.1733333333333333
0.18421052631578946,29,3,89,76,0,1.1710526315789473
0.18181818181818182,29,3,90,77,0,1.1688311688311688
0.1794871794871795,29,3,91,78,0,1.1666666666666667
0.17721518987341772,29,3,92,79,0,1.1645569620253164
0.175,29,3,93,80,0,1.1625
0.1728395061728395,29,3,94,81,0,1.1604938271604939
0.17073170731707318,29,3,95,82,0,1.1585365853658536
0.1686746987951807,29,3,96,83,0,1.1566265060240963
0.16666666666666666,29,3,97,84,0,1.1547619047619047
0.17647058823529413,29,3,99,85,0,1.1647058823529413
0.1744186046511628,29,3,100,86,0,1.1627906976744187
0.0,13,0,1,1,0.96,1.0
