rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/episodes,time/time_elapsed,time/total_timesteps
0.375,1.2291666666666667,0,30,48,1,59
0.3673469387755102,1.2244897959183674,0,30,49,1,60
0.36,1.22,0,30,50,1,61
0.35294117647058826,1.2156862745098038,0,30,51,2,62
0.34615384615384615,1.2115384615384615,0,30,52,2,63
0.33962264150943394,1.2075471698113207,0,30,53,2,64
0.3333333333333333,1.2037037037037037,0,30,54,2,65
0.32727272727272727,1.2,0,29,55,2,66
0.3392857142857143,1.2142857142857142,0,30,56,2,68
0.3333333333333333,1.2105263157894737,0,29,57,2,69
0.3275862068965517,1.206896551724138,0,29,58,2,70
0.3220338983050847,1.2033898305084745,0,29,59,2,71
0.31666666666666665,1.2,0,29,60,2,72
0.3114754098360656,1.1967213114754098,0,29,61,2,73
0.3064516129032258,1.1935483870967742,0,29,62,2,74
0.30158730158730157,1.1904761904761905,0,29,63,2,75
0.296875,1.1875,0,29,64,2,76
0.2923076923076923,1.1846153846153846,0,29,65,2,77
0.2878787878787879,1.1818181818181819,0,29,66,2,78
0.2835820895522388,1.1791044776119404,0,29,67,2,79
0.27941176470588236,1.1764705882352942,0,29,68,2,80
0.2753623188405797,1.173913043478261,0,29,69,2,81
0.2857142857142857,1.1857142857142857,0,29,70,2,83
0.28169014084507044,1.1830985915492958,0,29,71,2,84
0.2777777777777778,1.1805555555555556,0,29,72,2,85
0.273972602739726,1.178082191780822,0,29,73,2,86
0.2702702702702703,1.1756756756756757,0,29,74,2,87
0.26666666666666666,1.1733333333333333,0,29,75,2,88
0.2631578947368421,1.1710526315789473,0,29,76,3,89
0.2597402597402597,1.1688311688311688,0,29,77,3,90
0.2564102564102564,1.1666666666666667,0,29,78,3,91
0.25316455696202533,1.1645569620253164,0,29,79,3,92
0.25,1.1625,0,29,80,3,93
0.24691358024691357,1.1604938271604939,0,29,81,3,94
0.24390243902439024,1.1585365853658536,0,29,82,3,95
0.24096385542168675,1.1566265060240963,0,29,83,3,96
0.23809523809523808,1.1547619047619047,0,29,84,3,97
0.23529411764705882,1.1529411764705881,0,29,85,3,98
0.23255813953488372,1.1511627906976745,0,29,86,3,99
0.22988505747126436,1.1494252873563218,0,29,87,3,100
0.0,1.0,0.96,14,1,0,1
0.5,1.5,0.8799999999999999,27,2,0,3
0.3333333333333333,1.3333333333333333,0.8399999999999999,28,3,0,4
0.25,1.25,0.7999999999999998,28,4,0,5
1.4,1.8,0.6400000000000001,42,5,0,9
1.1666666666666667,1.6666666666666667,0.6000000000000001,41,6,0,10
1.0,1.5714285714285714,0.56,40,7,0,11
0.875,1.5,0.52,39,8,0,12
0.7777777777777778,1.4444444444444444,0.48,39,9,0,13
0.7,1.4,0.43999999999999995,39,10,0,14
0.6363636363636364,1.3636363636363635,0.3999999999999999,38,11,0,15
0.5833333333333334,1.3333333333333333,0.3599999999999999,38,12,0,16
0.5384615384615384,1.3076923076923077,0.31999999999999984,38,13,0,17
0.5,1.2857142857142858,0.28000000000000025,38,14,0,18
0.4666666666666667,1.2666666666666666,0.2400000000000002,38,15,0,19
0.4375,1.25,0.20000000000000018,38,16,0,20
0.4117647058823529,1.2352941176470589,0.16000000000000014,38,17,0,21
0.3888888888888889,1.2222222222222223,0.1200000000000001,38,18,0,22
0.5263157894736842,1.3157894736842106,0.0,40,19,0,25
0.5,1.3,0,40,20,0,26
0.6190476190476191,1.380952380952381,0,42,21,0,29
0.5909090909090909,1.3636363636363635,0,41,22,0,30
0.5652173913043478,1.3478260869565217,0,41,23,0,31
0.5416666666666666,1.3333333333333333,0,40,24,0,32
0.52,1.32,0,39,25,0,33
0.5,1.3076923076923077,0,39,26,0,34
